energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
889.277,0.003,99.984,0.001,4.69E-12,G,,889.286,0,E2,,,0.00017,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-00,S. -C. WU,21/03/2024
1120.545,0.004,99.987,0.001,,G,4.69E-12,2009.846,889.286,E2,,,,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-00,S. -C. WU,21/03/2024
2010,,0.000013,0.00001,,G,,2009.846,0,,,,,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-00,S. -C. WU,21/03/2024
0.477,,0.000122954,2.4546E-05,,X,,,,,,,,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-00,S. -C. WU,21/03/2024
4.505,,0.001554549,3.89647E-05,,X,,,,,,,,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-00,S. -C. WU,21/03/2024
4.511,,0.003062546,7.5266E-05,,X,,,,,,,,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-00,S. -C. WU,21/03/2024
4.947,,0.000611765,1.7149E-05,,X,,,,,,,,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-00,S. -C. WU,21/03/2024
4.947,,0.000611765,1.7149E-05,,X,,,,,,,,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-00,S. -C. WU,21/03/2024
