energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
174.3988,0.0004,9.63931,0.11,,G,,882.8611,708.4622,M1+E2,-0.313,16,0.793,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
177.0007,0.0004,2.80599,0.04,4.00E-11,G,1.07E-10,426.6752,249.6744,[E1],,,0.0808,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
181.9093,0.0013,0.075754,0.004,,G,,591.3179,409.4085,[M1+E2],,,0.734,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
185.599,0.001,0,,,G,,637.1133,451.5146,M1(+E2),,,0.638,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,IT,22.7,0.08,,,71,106,Lu,30-Aug-19,F.G. KONDEV,22/03/2024
195.5602,0.0007,0.194085,0.013,,G,,636.2027,440.6424,M1+E2,0.48,17,0.5,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,IT,22.7,0.08,,,71,106,Lu,30-Aug-19,F.G. KONDEV,22/03/2024
203,0.1,0.095852,0.006,,G,,794.4394,591.3179,[M1+E2],,,0.541,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
204.105,0.0004,10.44323,0.24,,G,,1086.9662,882.8611,M1+E2,-0.335,23,0.506,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
207.799,0.001,0,,,G,,844.9119,637.1133,M1(+E2),,,0.466,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,IT,22.7,0.08,,,71,106,Lu,30-Aug-19,F.G. KONDEV,22/03/2024
208.3662,0.0004,42.8242,0.8,6.65E-10,G,5.41E-10,321.3162,112.9499,E1+M2,0.076,19,0.068,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
214.4341,0.0005,4.97039,0.07,,G,,1301.4004,1086.9662,M1+E2,-0.3,3,0.445,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
218.1038,0.0006,0.76499,0.04,,G,,854.3067,636.2027,M1+E2,0.52,5,0.365,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,IT,22.7,0.08,,,71,106,Lu,30-Aug-19,F.G. KONDEV,22/03/2024
223.3,0.3,0.0099717,0.0008,,G,,1017.7911,794.4394,[M1+E2],,,0.415,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
228.4838,0.0006,27.7507,0.8,1.09,G,,1315.4502,1086.9662,E2,,,0.185,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
233.8615,0.0005,3.59445,0.14,,G,6.65E-10,555.1779,321.3162,E2,,,0.1719,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
242.1,0.3,0.0446794,0.0029,,G,,1260.2817,1017.7911,[M1+E2],,,0.333,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
249.6742,0.0006,4.82352,0.08,1.07E-10,G,,249.6744,0,E2,,,0.1395,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
268.7847,0.0005,0.79223,0.05,,G,574067.52,268.7849,0,E2,,,0.1071,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,IT,22.7,0.08,,,71,106,Lu,30-Aug-19,F.G. KONDEV,22/03/2024
281.7868,0.0005,10.79881,0.13,,G,4.00E-11,708.4622,426.6752,E2,,,0.0958,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
