energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
31.14,0.03,0.07056,0.00486982710165361,,G,,31.130,0.0,M1+E2,0.09,2,187,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
43.1,,0.065184,0.001164,0.00000000004,G,0.00000000139,117.84,74.660,M1+E2,0.38,,154.4,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
43.53,0.02,5.90016,0.14581278956250718,0.00000000139,G,,74.660,31.130,E1,,,1.143,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
50.6,,0.0029568,0.0000528,,G,,173.02,122.4,[E1],,,0.769,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
55.4,,0.0103488,0.0001848,,G,0.00000000004,173.02,117.84,M1+E2,0.6,2,8.E1,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
68.1,,0.0000336,0.0000006,,G,,240.8,173.02,[E2],,,89.0,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
71.2,,,,,G,,71.5,0.0,[E2],,,72.0,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
74.66,0.02,67.2,1.2,0.00000000139,G,,74.660,0.0,E1,,,0.276,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
86.71,0.02,0.34608,0.010700939024216519,0.00000000004,G,,117.84,31.130,E1,,,0.186,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
98.5,,0.009408,0.000168,,G,0.00000000139,173.02,74.660,(E2),,,15.56,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
