energy,unc_en,intensity_%,unc_i,type,shell, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0.311,,0.2840983964,0.05651409120551538,X,L,20,21,Ca,,0,,7/2-,9.94E+4,,15,Y,3136758441874.445,47335388961.888,EC,100,,421.64,14,19,22,K,30-Sep-2015,C.D. Nesaraja and  E.A. McCutchan,2024-03-21
3.311,,3.822374613055766,0.10906985161377375,X,KA2,20,21,Ca,,0,,7/2-,9.94E+4,,15,Y,3136758441874.445,47335388961.888,EC,100,,421.64,14,19,22,K,30-Sep-2015,C.D. Nesaraja and  E.A. McCutchan,2024-03-21
3.314,,7.56157193482842,0.21250079296279975,X,KA1,20,21,Ca,,0,,7/2-,9.94E+4,,15,Y,3136758441874.445,47335388961.888,EC,100,,421.64,14,19,22,K,30-Sep-2015,C.D. Nesaraja and  E.A. McCutchan,2024-03-21
3.591,,1.3945334521158128,0.047717621914885246,X,KB,20,21,Ca,,0,,7/2-,9.94E+4,,15,Y,3136758441874.445,47335388961.888,EC,100,,421.64,14,19,22,K,30-Sep-2015,C.D. Nesaraja and  E.A. McCutchan,2024-03-21
3.591,,1.3945334521158128,0.047717621914885246,X,KpB1,20,21,Ca,,0,,7/2-,9.94E+4,,15,Y,3136758441874.445,47335388961.888,EC,100,,421.64,14,19,22,K,30-Sep-2015,C.D. Nesaraja and  E.A. McCutchan,2024-03-21

